ord,request,window,request_in_window,kind,campaign_id,bid_value
715,238,328,0,bid,2,11
716,238,328,0,win,2,10
717,239,328,1,bid,1,10
718,239,328,1,bid,2,11
719,239,328,1,win,2,10
720,240,329,0,bid,1,10
721,240,329,0,bid,2,11
722,240,329,0,win,2,10
723,241,329,1,bid,1,10
724,241,329,1,bid,2,11
725,241,329,1,win,2,10
726,242,330,0,bid,1,10
727,242,330,0,bid,2,11
728,242,330,0,win,2,10
729,243,330,1,bid,1,10
730,243,330,1,bid,2,11
731,243,330,1,win,2,10
732,244,331,0,bid,1,10
733,244,331,0,bid,2,11
734,244,331,0,win,2,10
735,245,331,1,bid,1,10
736,245,331,1,bid,2,11
737,245,331,1,win,2,10
738,246,332,0,bid,1,10
739,246,332,0,bid,2,11
740,246,332,0,win,2,10
741,247,332,1,bid,1,10
742,247,332,1,bid,2,11
743,247,332,1,win,2,10
744,248,333,0,bid,1,10
745,248,333,0,bid,2,11
746,248,333,0,win,2,10
747,249,333,1,bid,1,10
748,249,333,1,bid,2,11
749,249,333,1,win,2,10
750,250,334,0,bid,1,10
751,250,334,0,bid,2,11
752,250,334,0,win,2,10
753,251,334,1,bid,1,10
754,251,334,1,bid,2,11
755,251,334,1,win,2,10
756,252,335,0,bid,1,10
757,252,335,0,bid,2,11
758,252,335,0,win,2,10
759,253,335,1,bid,1,10
760,253,335,1,bid,2,11
761,253,335,1,win,2,10
762,254,336,0,bid,1,10
763,254,336,0,bid,2,11
764,254,336,0,win,2,10
765,255,336,1,bid,1,10
766,255,336,1,bid,2,11
767,255,336,1,win,2,10
768,256,337,0,bid,1,10
769,256,337,0,bid,2,11
770,256,337,0,win,2,10
771,257,337,1,bid,1,10
772,257,337,1,bid,2,11
773,257,337,1,win,2,10
774,258,338,0,bid,1,10
775,258,338,0,bid,2,11
776,258,338,0,win,2,10
777,259,338,1,bid,1,10
778,259,338,1,bid,2,11
779,259,338,1,win,2,10
780,260,339,0,bid,1,10
781,260,339,0,bid,2,11
782,260,339,0,win,2,10
783,261,339,1,bid,1,10
784,261,339,1,bid,2,11
785,261,339,1,win,2,10
786,262,340,0,bid,1,10
787,262,340,0,bid,2,11
788,262,340,0,win,2,10
789,263,340,1,bid,1,10
790,263,340,1,bid,2,11
791,263,340,1,win,2,10
792,264,341,0,bid,1,10
793,264,341,0,bid,2,11
794,264,341,0,win,2,10
795,265,341,1,bid,1,10
796,265,341,1,bid,2,11
797,265,341,1,win,2,10
798,266,342,0,bid,1,10
799,266,342,0,bid,2,11
800,266,342,0,win,2,10
801,267,342,1,bid,1,10
802,267,342,1,bid,2,11
803,267,342,1,win,2,10
804,268,343,0,bid,1,10
805,268,343,0,bid,2,11
806,268,343,0,win,2,10
807,269,343,1,bid,1,10
808,269,343,1,bid,2,11
809,269,343,1,win,2,10
810,270,344,0,bid,1,10
811,270,344,0,bid,2,11
812,270,344,0,win,2,10
813,271,344,1,bid,1,10
814,271,344,1,bid,2,11
815,271,344,1,win,2,10
816,272,345,0,bid,1,10
817,272,345,0,bid,2,11
818,272,345,0,win,2,10
819,273,345,1,bid,1,10
820,273,345,1,bid,2,11
821,273,345,1,win,2,10
822,274,346,0,bid,1,10
823,274,346,0,bid,2,11
824,274,346,0,win,2,10
825,275,346,1,bid,1,10
826,275,346,1,bid,2,11
827,275,346,1,win,2,10
828,276,347,0,bid,1,10
829,276,347,0,bid,2,11
830,276,347,0,win,2,10
831,277,347,1,bid,1,10
832,277,347,1,bid,2,11
833,277,347,1,win,2,10
834,278,348,0,bid,1,10
835,278,348,0,bid,2,11
836,278,348,0,win,2,10
837,279,348,1,bid,1,10
838,279,348,1,bid,2,11
839,279,348,1,win,2,10
840,280,349,0,bid,1,10
841,280,349,0,bid,2,11
842,280,349,0,win,2,10
843,281,349,1,bid,1,10
844,281,349,1,bid,2,11
845,281,349,1,win,2,10
846,282,350,0,bid,1,10
847,282,350,0,bid,2,11
848,282,350,0,win,2,10
849,283,350,1,bid,1,10
850,283,350,1,bid,2,11
851,283,350,1,win,2,10
852,284,351,0,bid,1,10
853,284,351,0,bid,2,11
854,284,351,0,win,2,10
855,285,351,1,bid,1,10
856,285,351,1,bid,2,11
857,285,351,1,win,2,10
858,286,352,0,bid,1,10
859,286,352,0,bid,2,11
860,286,352,0,win,2,10
861,287,352,1,bid,1,10
862,287,352,1,bid,2,11
863,287,352,1,win,2,10
864,288,353,0,bid,1,10
865,288,353,0,bid,2,11
866,288,353,0,win,2,10
867,289,353,1,bid,1,10
868,289,353,1,bid,2,11
869,289,353,1,win,2,10
870,290,354,0,bid,1,10
871,290,354,0,bid,2,11
872,290,354,0,win,2,10
873,291,354,1,bid,1,10
874,291,354,1,bid,2,11
875,291,354,1,win,2,10
876,292,355,0,bid,1,10
877,292,355,0,bid,2,11
878,292,355,0,win,2,10
879,293,355,1,bid,1,10
880,293,355,1,bid,2,11
881,293,355,1,win,2,10
882,294,356,0,bid,1,10
883,294,356,0,bid,2,11
884,294,356,0,win,2,10
885,295,356,1,bid,1,10
886,295,356,1,bid,2,11
887,295,356,1,win,2,10
888,296,357,0,bid,1,10
889,296,357,0,bid,2,11
890,296,357,0,win,2,10
891,297,357,1,bid,1,10
892,297,357,1,bid,2,11
893,297,357,1,win,2,10
894,298,358,0,bid,1,10
895,298,358,0,bid,2,11
896,298,358,0,win,2,10
897,299,358,1,bid,1,10
898,299,358,1,bid,2,11
899,299,358,1,win,2,10
900,300,359,0,bid,1,10
901,300,359,0,bid,2,11
902,300,359,0,win,2,10
903,301,359,1,bid,1,10
904,301,359,1,bid,2,11
905,301,359,1,win,2,10
906,302,360,0,bid,1,10
907,302,360,0,bid,2,11
908,302,360,0,win,2,10
909,303,360,1,bid,1,10
910,303,360,1,bid,2,11
911,303,360,1,win,2,10
912,304,361,0,bid,1,10
913,304,361,0,bid,2,11
914,304,361,0,win,2,10
915,305,361,1,bid,1,10
916,305,361,1,bid,2,11
917,305,361,1,win,2,10
918,306,362,0,bid,1,10
919,306,362,0,bid,2,11
920,306,362,0,win,2,10
921,307,362,1,bid,1,10
922,307,362,1,bid,2,11
923,307,362,1,win,2,10
924,308,363,0,bid,1,10
925,308,363,0,bid,2,11
